notification_id,operator_email,message,timestamp
1,operatore@gmail.com,Nuova segnalazione ID 3 - lampione,2025-08-25 17:23:00
2,operatore@gmail.com,Nuova segnalazione ID 3 - lampione,2025-08-25 17:23:00
3,operatore@gmail.com,Nuova segnalazione ID 3 - lampione,2025-08-25 17:23:00
4,operatore@gmail.com,Nuova segnalazione ID 4 - marciapiede rotto,2025-08-25 17:51:42
5,operatore@gmail.com,Nuova segnalazione ID 4 - marciapiede rotto,2025-08-25 17:51:42
6,operatore@gmail.com,Nuova segnalazione ID 4 - marciapiede rotto,2025-08-25 17:51:42
7,operatore@gmail.com,Nuova segnalazione ID 5 - lampione,2025-08-25 17:53:44
8,operatore@gmail.com,Nuova segnalazione ID 5 - lampione,2025-08-25 17:53:44
9,operatore@gmail.com,Nuova segnalazione ID 5 - lampione,2025-08-25 17:53:44
10,operatore@gmail.com,Nuova segnalazione ID 6 - lampione,2025-08-26 14:30:21
11,operatore@gmail.com,Nuova segnalazione ID 6 - lampione,2025-08-26 14:30:21
12,operatore@gmail.com,Nuova segnalazione ID 6 - lampione,2025-08-26 14:30:21
